episode,step,reward
52,8,0.125040
52,9,0.094059
52,10,0.054434
52,11,0.106571
52,12,0.056789
52,13,0.162102
52,14,0.059638
52,15,0.072161
53,1,0.064317
53,2,0.156696
53,3,0.029327
53,4,0.169606
53,5,0.076140
53,6,0.074782
53,7,0.171870
53,8,0.128483
53,9,0.086427
53,10,0.143283
53,11,0.055685
53,12,0.064956
53,13,0.165078
53,14,0.218501
53,15,0.110595
54,1,0.088806
54,2,0.053828
54,3,0.018392
54,4,0.066858
54,5,0.157232
54,6,0.045863
54,7,0.010059
54,8,0.125082
54,9,0.087024
54,10,0.094987
54,11,0.092595
54,12,0.109908
54,13,0.128137
54,14,0.114811
54,15,0.124151
55,1,0.058607
55,2,0.075974
55,3,0.067463
55,4,0.084522
55,5,0.112716
55,6,0.060757
55,7,0.041615
55,8,0.129855
55,9,0.037522
55,10,0.054612
55,11,0.056789
55,12,0.064956
55,13,0.056871
55,14,0.056631
55,15,0.102929
56,1,0.140658
56,2,0.092071
56,3,0.119064
56,4,0.147366
56,5,0.026836
56,6,0.060757
56,7,0.223462
56,8,0.015166
56,9,0.090943
56,10,0.116858
56,11,0.112147
56,12,0.099396
56,13,0.103093
56,14,0.146983
56,15,0.128634
57,1,0.055685
57,2,0.081832
57,3,0.021729
57,4,0.014064
57,5,0.146522
57,6,0.064317
57,7,0.127109
57,8,0.195310
57,9,0.168254
57,10,0.172814
57,11,0.049142
57,12,0.132210
57,13,0.091234
57,14,0.165721
57,15,0.058788
58,1,0.147546
58,2,0.205795
58,3,0.053741
58,4,0.094768
58,5,0.141827
58,6,0.107149
58,7,0.056955
58,8,0.056680
58,9,0.051771
58,10,0.093045
58,11,0.099043
58,12,0.098404
58,13,0.028356
58,14,0.066088
58,15,0.082368
59,1,0.064956
59,2,0.114066
59,3,0.058118
59,4,0.156681
59,5,0.090153
59,6,0.102929
59,7,0.137994
59,8,0.148545
59,9,0.207558
59,10,0.067380
59,11,0.056789
59,12,0.041615
59,13,0.150745
59,14,0.127244
59,15,0.142549
60,1,0.055685
60,2,0.090445
60,3,0.128596
60,4,0.049197
60,5,0.053409
60,6,0.083229
60,7,0.041334
60,8,0.203325
60,9,0.029327
60,10,0.144901
60,11,0.113172
60,12,0.071596
60,13,0.094766
60,14,0.091827
60,15,0.174017
61,1,0.017813
61,2,0.072947
61,3,0.102929
61,4,0.076533
61,5,0.170888
61,6,0.076420
61,7,0.098404
61,8,0.017263
61,9,0.175947
61,10,0.133934
61,11,0.076420
61,12,0.060757
61,13,0.109259
61,14,0.059786
61,15,0.044215
62,1,0.133388
62,2,0.077429
62,3,0.073760
62,4,0.029872
62,5,0.148982
62,6,0.058607
62,7,0.009217
62,8,0.015166
62,9,0.058837
62,10,0.094377
62,11,0.041615
62,12,0.056789
62,13,0.082680
62,14,0.027873
62,15,0.027386
63,1,0.045863
63,2,0.129423
63,3,0.147507
63,4,0.141565
63,5,0.074739
63,6,0.066705
63,7,0.160680
63,8,0.157835
63,9,0.085827
63,10,0.142660
63,11,0.147413
63,12,0.010865
63,13,0.133650
63,14,0.010059
63,15,0.175451
64,1,0.007528
64,2,0.140018
64,3,0.150745
64,4,0.014025
64,5,0.230285
64,6,0.104469
64,7,0.084522
64,8,0.145521
64,9,0.082937
64,10,0.070841
64,11,0.204974
64,12,0.073758
64,13,0.160865
64,14,0.110184
64,15,0.172243
65,1,0.107149
65,2,0.071418
65,3,0.077216
65,4,0.073268
65,5,0.143666
65,6,0.204974
65,7,0.068656
65,8,0.073295
65,9,0.047297
65,10,0.014178
65,11,0.107149
65,12,0.155998
65,13,0.098634
65,14,0.080571
65,15,0.019088
66,1,0.108952
66,2,0.200791
66,3,0.151155
66,4,0.111041
66,5,0.104540
66,6,0.074782
66,7,0.104995
66,8,0.086210
66,9,0.125248
66,10,0.087627
66,11,0.169635
66,12,0.053531
66,13,0.059060
66,14,0.208707
66,15,0.072676
67,1,0.098404
67,2,0.141287
67,3,0.017813
67,4,0.032653
67,5,0.083750
67,6,0.057429
67,7,0.102929
67,8,0.072391
67,9,0.160257
67,10,0.081197
67,11,0.137177
67,12,0.059037
67,13,0.059736
67,14,0.115211
67,15,0.074867
68,1,0.098404
68,2,0.191001
68,3,0.094059
68,4,0.149774
68,5,0.124948
68,6,0.055685
68,7,0.099043
68,8,0.099799
68,9,0.046100
68,10,0.064017
68,11,0.072631
68,12,0.145204
68,13,0.036839
68,14,0.031721
68,15,0.140358
69,1,0.151202
69,2,0.106913
69,3,0.092843
69,4,0.071964
69,5,0.133814
69,6,0.105931
69,7,0.247410
69,8,0.058382
69,9,0.172814
69,10,0.215478
69,11,0.118170
69,12,0.211162
69,13,0.153004
69,14,0.213686
69,15,0.161577
70,1,0.151202
70,2,0.051465
70,3,0.089064
70,4,0.025039
70,5,0.088701
70,6,0.155832
70,7,0.093257
70,8,0.014025
70,9,0.131553
70,10,0.012811
70,11,0.140018
70,12,0.017813
70,13,0.054478
70,14,0.072785
70,15,0.061950
71,1,0.060682
71,2,0.058607
71,3,0.249016
71,4,0.195574
71,5,0.087673
71,6,0.167831
71,7,0.025623
71,8,0.070845
71,9,0.128529
71,10,0.146167
71,11,0.165226
71,12,0.143498
71,13,0.098993
71,14,0.152884
71,15,0.123851
72,1,0.064902
72,2,0.217714
72,3,0.131415
72,4,0.143567
72,5,0.085786
72,6,0.151202
72,7,0.061950
72,8,0.071641
72,9,0.149831
72,10,0.112926
72,11,0.225319
72,12,0.054737
72,13,0.067807
72,14,0.215665
72,15,0.133559
73,1,0.007528
73,2,0.119364
73,3,0.102237
73,4,0.018048
73,5,0.139149
73,6,0.206337
73,7,0.110637
73,8,0.158612
73,9,0.156245
73,10,0.135306
73,11,0.106571
73,12,0.206642
73,13,0.049620
73,14,0.152448
73,15,0.073889
74,1,0.173854
74,2,0.196898
74,3,0.198542
74,4,0.112351
74,5,0.151131
74,6,0.147413
74,7,0.057674
74,8,0.016714
74,9,0.152631
74,10,0.150156
74,11,0.074782
74,12,0.096049
74,13,0.017813
74,14,0.106138
74,15,0.138973
75,1,0.108952
75,2,0.085896
75,3,0.064317
75,4,0.180204
75,5,0.172013
75,6,0.147413
75,7,0.069901
75,8,0.063045
75,9,0.111300
75,10,0.104995
75,11,0.072631
75,12,0.041615
75,13,0.014178
75,14,0.038960
75,15,0.122707
76,1,0.112147
76,2,0.073568
76,3,0.050256
76,4,0.117895
76,5,0.199690
76,6,0.118170
76,7,0.147795
76,8,0.056799
76,9,0.134130
76,10,0.147618
76,11,0.017813
76,12,0.177204
76,13,0.108336
76,14,0.070708
76,15,0.143770
77,1,0.140018
77,2,0.159963
77,3,0.066971
77,4,0.173942
77,5,0.088882
77,6,0.173854
77,7,0.041615
77,8,0.091903
77,9,0.057127
77,10,0.073568
77,11,0.092595
77,12,0.071641
77,13,0.044598
77,14,0.151184
77,15,0.148813
78,1,0.106620
78,2,0.054434
78,3,0.030027
78,4,0.084431
78,5,0.060562
78,6,0.028049
78,7,0.157296
78,8,0.077329
78,9,0.143133
78,10,0.139988
78,11,0.150756
78,12,0.147284
78,13,0.068417
78,14,0.076558
78,15,0.139321
79,1,0.051465
79,2,0.137177
79,3,0.051465
79,4,0.061950
79,5,0.155416
79,6,0.031838
79,7,0.072631
79,8,0.126691
79,9,0.057346
79,10,0.159150
79,11,0.155832
79,12,0.160857
79,13,0.109310
79,14,0.055779
79,15,0.051862
80,1,0.169635
80,2,0.027978
80,3,0.164797
80,4,0.010059
80,5,0.045309
80,6,0.057429
80,7,0.152175
80,8,0.082317
80,9,0.021035
80,10,0.161753
80,11,0.092595
80,12,0.060777
80,13,0.140153
80,14,0.051465
80,15,0.071872
81,1,0.083229
81,2,0.036386
81,3,0.055685
81,4,0.163526
81,5,0.163613
81,6,0.058607
81,7,0.109259
81,8,0.108051
81,9,0.012811
81,10,0.118096
81,11,0.163360
81,12,0.073605
81,13,0.074578
81,14,0.018914
81,15,0.181953
82,1,0.151202
82,2,0.000000
82,3,0.080302
82,4,0.017265
82,5,0.130695
82,6,0.049142
82,7,0.148024
82,8,0.037522
82,9,0.143515
82,10,0.058639
82,11,0.009217
82,12,0.087798
82,13,0.150977
82,14,0.106219
82,15,0.105903
83,1,0.163360
83,2,0.073605
83,3,0.184065
83,4,0.045182
83,5,0.056660
83,6,0.028049
83,7,0.010059
83,8,0.043252
83,9,0.114218
83,10,0.149594
83,11,0.056789
83,12,0.107294
83,13,0.145339
83,14,0.084454
83,15,0.122738
84,1,0.173854
84,2,0.054737
84,3,0.199959
84,4,0.012811
84,5,0.052468
84,6,0.064956
84,7,0.113198
84,8,0.102929
84,9,0.210823
84,10,0.095627
84,11,0.169635
84,12,0.059060
84,13,0.124327
84,14,0.053782
84,15,0.126036
85,1,0.108952
85,2,0.142770
85,3,0.130093
85,4,0.088093
85,5,0.047712
85,6,0.173854
85,7,0.252129
85,8,0.204323
85,9,0.140079
85,10,0.144270
85,11,0.114218
85,12,0.102929
85,13,0.126869
85,14,0.111219
85,15,0.117997
86,1,0.151202
86,2,0.143498
86,3,0.133052
86,4,0.092188
86,5,0.109602
86,6,0.072631
86,7,0.066564
86,8,0.067273
86,9,0.132721
86,10,0.159034
86,11,0.098404
86,12,0.082680
86,13,0.150455
86,14,0.122990
86,15,0.105940
87,1,0.112147
87,2,0.012811
87,3,0.148365
87,4,0.168778
87,5,0.158981
