episode,episodic_reward
899,1.488660
900,1.562601
901,1.775099
902,1.484035
903,1.642086
904,1.651107
905,1.458745
906,1.674892
907,1.587556
908,1.418659
909,1.594504
910,1.463052
911,1.650750
912,1.656435
913,1.565224
914,1.509343
915,1.590997
916,1.462178
917,1.509797
918,1.499294
919,1.577374
920,1.504426
921,1.501281
922,1.756523
923,1.533777
924,1.506390
925,1.548300
926,1.616301
927,1.482661
928,1.523039
929,1.670207
930,1.553577
931,1.735273
932,1.424195
933,1.542604
934,1.712764
935,1.554692
936,1.635797
937,1.470275
938,1.640565
939,1.679636
940,1.514363
941,1.452917
942,1.572397
943,1.702472
944,1.501165
945,1.654069
946,1.529394
947,1.615757
948,1.602293
949,1.490274
950,1.678270
951,1.584367
952,1.531791
953,1.648642
954,1.516477
955,1.500725
956,1.524652
957,1.615144
958,1.714259
959,1.529068
960,1.657414
961,1.476476
962,1.649122
963,1.454412
964,1.461766
965,1.417196
966,1.653852
967,1.533944
968,1.723289
969,1.496336
970,1.587159
971,1.553870
972,1.524797
973,1.613579
974,1.600696
975,1.490173
976,1.617166
977,1.569702
978,1.698950
979,1.574972
980,1.454176
981,1.609650
982,1.572773
983,1.566044
984,1.581343
985,1.498728
986,1.395737
987,1.614499
988,1.524759
989,1.500683
990,1.611968
991,1.533029
992,1.568403
993,1.697095
994,1.713210
995,1.476575
996,1.559482
997,1.689977
998,1.447976
999,1.702599
1000,1.702411
1001,1.653037
1002,1.712531
1003,1.510658
1004,1.663017
1005,1.582602
1006,1.582209
1007,1.666356
1008,1.558366
1009,1.700950
1010,1.608376
1011,1.692653
1012,1.763664
1013,1.492204
1014,1.592957
