Timestamp,Edge Device 1,Edge Device 2,Edge Device 3,Edge Device 4,Edge Device 5
1804011212,1,4,2,4,0
1804011213,1,3,2,4,0
1804011214,1,3,2,4,0
1804011215,1,3,2,4,0
1804011216,1,3,1,3,0
1804011217,1,3,1,3,0
1804011218,1,3,1,3,0
1804011219,1,3,1,3,0
1804011220,1,3,1,3,0
1804011221,1,3,1,3,0
1804011222,1,3,1,4,0
1804011223,1,3,1,3,0
1804011224,1,4,1,3,0
1804011225,1,4,1,3,0
1804011226,1,4,2,3,0
1804011227,1,3,1,3,0
1804011228,2,3,1,3,0
1804011229,2,3,1,2,0
1804011230,1,3,1,3,0
1804011231,1,3,2,2,0
1804011232,2,3,2,3,0
1804011233,2,4,1,3,0
1804011234,2,4,1,3,0
1804011235,2,4,1,3,0
1804011236,2,3,1,3,0
1804011237,2,4,1,3,0
1804011238,2,4,1,3,0
1804011239,2,4,1,3,0
1804011240,1,3,1,3,0
1804011241,1,3,1,3,0
1804011242,1,3,1,3,0
1804011243,2,3,1,3,0
1804011244,2,3,1,3,0
1804011245,2,3,1,3,0
1804011246,2,3,1,3,0
1804011247,2,4,1,3,0
1804011248,2,4,1,3,0
1804011249,2,4,1,3,0
1804011250,3,4,1,3,0
1804011251,2,3,1,3,0
1804011252,3,4,1,3,0
1804011253,2,4,1,3,0
1804011254,3,4,1,3,0
1804011255,2,4,1,3,0
1804011256,3,3,1,3,0
1804011257,2,4,1,3,0
1804011258,2,4,1,3,0
1804011259,2,4,1,3,0
1804011300,2,4,1,3,0
1804011301,1,4,2,3,0
1804011302,2,3,2,3,0
1804011303,2,3,2,3,0
1804011304,1,3,1,3,0
1804011305,2,3,1,3,0
1804011306,2,3,1,3,0
1804011307,2,4,1,2,0
1804011308,2,4,1,3,0
1804011309,2,4,1,2,0
1804011310,3,4,1,2,0
1804011311,2,4,1,3,0
1804011312,2,3,1,3,0
1804011313,2,4,1,3,0
1804011314,3,4,1,3,0
1804011315,2,4,1,3,0
1804011316,2,4,1,3,0
1804011317,2,4,1,3,0
1804011318,2,3,1,3,0
1804011319,1,4,1,3,0
1804011320,2,3,1,3,0
1804011321,2,3,1,3,0
1804011322,2,3,1,3,0
1804011323,2,3,1,3,0
1804011324,2,3,1,3,0
1804011325,2,4,1,3,0
1804011326,2,4,1,3,0
1804011327,2,4,1,3,0
1804011328,2,4,1,3,0
1804011329,2,4,1,3,0
1804011330,2,4,1,3,0
1804011331,2,3,1,3,0
1804011332,3,3,1,3,0
1804011333,3,3,1,3,0
1804011334,2,4,1,3,0
1804011335,2,4,1,3,0
1804011336,2,3,1,3,0
1804011337,3,3,2,3,0
1804011338,3,3,2,3,0
1804011339,3,4,2,3,0
